HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Abilene, TX",980,127,565,772,68,98,226444,50412,135866,28688,6270,1913,339%,248%,195%,956,169%,124%,98%,624,110%,81%,64%,418,615%,427%,329%,209,307%,213%,165%,136,200%,139%,107%
"Akron, OH",1358,186,518,938,94,140,547990,111042,328794,68800,14876,4587,886%,489%,338%,2293,443%,244%,169%,1496,289%,159%,110%,992,1055%,709%,533%,496,528%,354%,267%,323,344%,231%,174%
"Alameda County, CA",2695,293,665,1680,139,216,1310189,214991,786113,161616,34200,10774,1620%,641%,400%,5387,810%,321%,200%,3513,528%,209%,130%,2280,1640%,1056%,778%,1140,820%,528%,389%,743,535%,344%,254%
"Albany, GA",704,60,221,462,27,43,157143,30466,94286,19651,4229,1310,593%,284%,186%,655,296%,142%,93%,427,193%,92%,61%,282,1044%,656%,470%,141,522%,328%,235%,92,341%,214%,153%
"Albany, NY",4804,425,1579,3191,193,309,1477723,318695,886634,186626,40636,12442,788%,390%,259%,6221,394%,195%,129%,4057,257%,127%,84%,2709,1404%,877%,637%,1355,702%,439%,319%,883,458%,286%,208%
"Albuquerque, NM",2908,380,1102,2005,161,270,1336795,279457,802077,168324,36521,11222,1018%,560%,386%,5611,509%,280%,193%,3659,332%,182%,126%,2435,1512%,902%,641%,1217,756%,451%,320%,794,493%,294%,209%
"Alexandria, LA",917,43,402,660,20,31,221597,44519,132958,27800,6005,1853,461%,281%,202%,927,231%,140%,101%,604,150%,92%,66%,400,2000%,1290%,930%,200,1000%,645%,465%,131,655%,423%,305%
"Allentown, PA",3267,334,1267,2267,143,238,960572,207376,576343,121326,26421,8088,638%,357%,248%,4044,319%,178%,124%,2638,208%,116%,81%,1761,1231%,740%,527%,881,616%,370%,264%,574,401%,241%,172%
"Altoona, PA",555,61,234,394,27,44,234560,56483,140736,29959,6610,1997,853%,507%,360%,999,427%,254%,180%,651,278%,165%,117%,441,1633%,1002%,723%,220,815%,500%,361%,144,533%,327%,236%
"Amarillo, TX",1236,194,678,957,79,137,332671,61267,199603,41417,8864,2761,407%,289%,223%,1381,204%,144%,112%,900,133%,94%,73%,591,748%,431%,305%,295,373%,215%,152%,193,244%,141%,99%
